Date:2015.06.22	Unit:F	CHARGE:00:00	TP:00:00	DRYe:00:00	FCs:00:00	FCe:00:00	SCs:00:00	SCe:00:00	DROP:00:00	COOL:00:00
Time1	Time2	BT	ET	Event	ETSP	HEAT
00:00		338.2	411.7		200	32
00:05		299.9	394.7		200	32
00:10		269.3	382.3		200	32
00:15		246.8	373.5		200	32
00:20		230.2	367.5		200	32
00:25		217.6	363.0		200	32
00:30		208.7	360.2		200	32
00:35		202.7	357.7		200	32
00:40		198.2	355.5		200	32
00:45		195.3	355.0		200	32
00:50		193.7	354.4		200	32
00:55		193.0	353.9		200	32
01:00		192.8	353.9		200	32
01:05		193.4	354.4		390	33
01:10		194.5	355.4		390	33
01:15		195.7	356.8		390	33
01:20		197.2	357.4		390	35
01:25		198.7	358.5		390	36
01:30		200.3	360.1		390	36
01:35		202.3	361.0		390	38
01:40		204.2	362.1		390	39
01:45		206.1	363.3		390	41
01:50		208.1	364.6		390	42
01:55		210.2	366.3		390	42
02:00		212.2	367.9		390	42
02:05		214.2	369.9		390	41
02:10		216.4	371.3		390	41
02:15		218.6	372.4		390	41
02:20		220.7	373.3		390	42
02:25		222.8	374.5		390	42
02:30		224.9	375.6		390	43
02:35		227.1	376.6		390	44
02:40		229.3	377.6		390	46
02:45		231.1	378.4		390	47
02:50		233.0	380.0		390	47
02:55		235.3	381.8		390	47
03:00		237.4	383.5		390	47
03:05		239.3	385.0		390	47
03:10		241.6	386.5		390	46
03:15		243.6	387.7		390	47
03:20		245.6	388.6		390	47
03:25		247.7	389.9		390	47
03:30		249.7	390.4		390	47
03:35		251.8	390.9		390	46
03:40		253.7	391.7		390	43
03:45		255.9	392.2		390	41
03:50		257.8	392.5		390	39
03:55		259.9	392.6		390	37
04:00		261.7	392.5		390	35
04:05		263.5	392.5		390	34
04:10		265.4	392.0		390	33
04:15		267.1	391.7		390	32
04:20		268.9	391.3		390	32
04:25		270.5	391.1		390	31
04:30		272.0	390.7		390	31
04:35		273.6	390.6		390	31
04:40		275.2	390.5		390	31
04:45		276.7	390.4		390	30
04:50		278.1	390.6		390	29
04:55		279.6	390.8		390	29
05:00		281.0	390.9		390	28
05:05		282.4	390.9		390	27
05:10		283.7	391.2		390	26
05:15		285.0	391.2		390	25
05:20		286.3	391.2		390	24
05:25		287.7	391.1		390	24
05:30		288.8	391.2		390	23
05:35		290.0	390.5		390	24
05:40		291.2	390.2		390	24
05:45		292.3	390.0		390	24
05:50		293.4	390.3		390	23
05:55		294.7	390.2		390	24
06:00		295.7	389.7		428	26
06:05		296.8	388.9		428	33
06:10		297.9	388.6		428	39
06:15		299.0	389.0		428	45
06:20		300.2	391.4		428	47
06:25		301.4	394.0		428	50
06:30		302.7	396.6		428	49
06:35		304.0	399.6		428	49
06:40		305.3	402.4		428	49
06:45		306.7	404.9		428	49
06:50		307.9	407.4		428	48
06:55		309.4	409.3		428	49
07:00		310.9	410.7		428	50
07:05		312.3	412.0		428	50
07:10		313.9	413.8		428	50
07:15		315.3	415.4		428	50
07:20		316.6	416.7		428	50
07:25		318.2	418.1		428	50
07:30		319.7	419.0		428	50
07:35		321.1	419.6		428	50
07:40		322.3	420.5		428	50
07:45		323.8	421.3		428	50
07:50		325.3	422.7		428	50
07:55		326.7	424.3		428	50
08:00		328.2	425.7		428	50
08:05		329.5	427.1		428	50
08:10		331.0	428.0		428	50
08:15		332.6	429.2		428	47
08:20		334.0	430.2		428	44
08:25		335.5	431.0		428	41
08:30		337.0	430.9		428	40
08:35		338.2	430.5		428	39
08:40		339.8	429.9		428	38
08:45		341.0	430.1		440	50
08:50		342.3	432.8		440	50
08:55		343.6	435.6		440	49
09:00		344.7	437.5		440	49
09:05		346.3	439.2		440	47
09:10		347.7	441.0		440	44
09:15		349.1	442.4		440	41
09:20		350.6	442.9		440	39
09:25		352.1	442.9		440	37
09:30		353.5	442.8		440	36
09:35		354.8	442.6		440	34
09:40		356.3	442.4		440	33
09:45		357.6	441.8		440	32
09:50		358.9	441.8		440	31
09:55		360.1	441.6		440	30
10:00		361.5	441.1		440	30
10:05		362.7	440.6		440	30
10:10		364.1	440.5		440	30
10:15		365.2	440.2		440	30
10:20		366.2	440.0		440	30
10:25		367.4	439.9		440	31
10:30		368.7	440.4		440	29
10:35		369.9	441.0		440	27
10:40		371.2	441.2		440	27
10:45		372.4	441.0		440	27
10:50		373.3	440.8		440	26
10:55		374.5	440.8		440	26
11:00		375.7	440.6		440	26
11:05		376.9	440.7		440	25
11:10		377.9	440.8		440	24
11:15		379.1	440.3		440	25
11:20		380.1	440.0		440	25
11:25		381.0	439.9		440	25
11:30		382.0	440.2		440	25
11:35		382.8	440.3		440	25
11:40		383.6	440.3		440	24
11:45		384.4	440.2		440	24
11:50		385.1	440.2		440	24
11:55		385.9	440.0		440	24
12:00		386.5	439.9		440	25
12:05		387.0	439.9		440	25
12:10		387.6	439.9		440	25
12:15		388.1	439.6		440	26
12:20		388.6	439.6		440	26
12:25		389.1	439.3		440	27
12:30		389.7	439.1		440	28
12:35		390.4	439.3		440	28
12:40		391.0	439.9		440	27
12:45		391.6	440.0		440	27
12:50		392.5	440.1		440	27
12:55		393.2	440.3		440	26
13:00		394.0	440.3		440	26
13:05		394.9	440.4		440	26
13:10		395.6	440.8		440	24
13:15		396.6	441.3		440	23
13:20		397.5	441.6		440	21
13:25		398.5	441.7		440	20
13:30		399.4	441.5		440	20
13:35		400.5	440.9		440	20
13:40		401.4	440.8		440	20
13:45		402.4	440.1		440	21
13:50		403.3	440.1		440	20
13:55		404.3	440.2		440	20
14:00		405.3	440.0		440	20
14:05		406.4	440.1		440	20
14:10		407.5	440.8		440	18
14:15		408.4	441.3		440	16
14:20		409.4	441.7		440	15
14:25		410.4	441.4		200	14
14:30		410.6	437.2		200	14
