Date:2015.06.19	Unit:F	CHARGE:00:00	TP:00:00	DRYe:00:00	FCs:00:00	FCe:00:00	SCs:00:00	SCe:00:00	DROP:00:00	COOL:00:00
Time1	Time2	BT	ET	Event	ETSP	HEAT
00:00		344.7	425.5		200	32
00:05		306.8	407.5		200	32
00:10		275.3	394.6		200	32
00:15		252.8	385.9		200	32
00:20		235.6	379.0		200	32
00:25		223.9	374.6		200	32
00:30		215.2	371.0		200	32
00:35		208.6	368.1		200	32
00:40		204.4	366.5		200	32
00:45		201.8	365.6		200	32
00:50		200.3	365.2		200	32
00:55		199.8	365.1		200	32
01:00		200.0	365.2		390	32
01:05		200.6	366.5		390	30
01:10		201.8	368.8		390	28
01:15		203.0	370.3		390	27
01:20		204.3	371.2		390	28
01:25		205.9	371.1		390	30
01:30		207.7	371.2		390	33
01:35		209.5	371.9		390	35
01:40		211.5	372.7		390	37
01:45		213.4	373.9		390	39
01:50		215.5	375.8		390	39
01:55		217.7	377.4		390	40
02:00		219.9	378.8		390	41
02:05		222.0	380.2		390	42
02:10		224.2	382.2		390	41
02:15		226.4	383.8		390	42
02:20		228.5	384.9		390	43
02:25		230.6	385.5		390	44
02:30		232.7	386.8		390	45
02:35		234.8	388.4		390	45
02:40		237.1	389.7		390	45
02:45		239.2	390.9		390	43
02:50		241.5	392.2		390	39
02:55		243.7	392.7		390	37
03:00		245.6	393.2		390	34
03:05		247.7	393.5		390	31
03:10		249.6	393.4		390	30
03:15		251.5	392.8		390	29
03:20		253.3	392.1		390	28
03:25		255.4	391.3		390	28
03:30		257.2	390.8		390	28
03:35		258.8	390.2		390	29
03:40		260.5	389.5		390	30
03:45		262.3	389.3		390	30
03:50		263.9	389.0		390	32
03:55		265.6	389.0		390	32
04:00		267.2	388.9		390	33
04:05		268.9	389.5		390	32
04:10		270.7	389.7		390	32
04:15		272.4	390.3		390	31
04:20		274.1	390.5		390	31
04:25		275.5	391.0		390	29
04:30		277.1	391.3		390	28
04:35		278.5	391.3		390	27
04:40		280.0	391.2		390	27
04:45		281.4	390.9		390	27
04:50		282.8	390.9		390	26
04:55		284.1	391.0		390	25
05:00		285.4	391.1		390	24
05:05		286.8	391.0		390	24
05:10		287.9	390.7		390	23
05:15		289.3	390.7		390	23
05:20		290.5	391.1		390	21
05:25		291.6	391.3		390	20
05:30		292.8	391.2		390	20
05:35		294.1	390.7		390	20
05:40		295.1	390.4		428	20
05:45		296.0	389.5		428	26
05:50		297.2	388.6		428	33
05:55		298.1	388.6		428	39
06:00		299.2	389.4		428	45
06:05		300.3	390.7		428	50
06:10		301.5	393.0		428	50
06:15		302.9	395.6		428	49
06:20		304.2	397.6		428	50
06:25		305.7	399.8		428	50
06:30		307.0	401.6		428	50
06:35		308.5	403.6		428	50
06:40		310.0	406.0		428	50
06:45		311.5	408.6		428	50
06:50		313.0	410.6		428	50
06:55		314.4	412.6		428	50
07:00		315.7	414.9		428	49
07:05		317.2	417.0		428	50
07:10		318.7	418.6		428	50
07:15		320.2	420.3		428	50
07:20		321.7	421.6		428	50
07:25		323.2	422.9		428	50
07:30		324.7	424.1		428	50
07:35		326.1	425.4		428	50
07:40		327.6	426.5		428	50
07:45		329.0	427.5		428	49
07:50		330.4	428.7		428	47
07:55		331.9	429.1		428	46
08:00		333.3	429.5		428	44
08:05		334.8	429.7		428	43
08:10		336.3	429.4		428	43
08:15		337.6	429.9		428	40
08:20		338.9	429.7		428	40
08:25		340.3	430.0		455	50
08:30		341.6	431.5		455	50
08:35		342.9	434.0		455	50
08:40		344.3	436.8		455	50
08:45		345.5	438.6		455	50
08:50		347.0	440.4		455	50
08:55		348.5	442.3		455	50
09:00		350.0	444.2		455	50
09:05		351.7	446.0		455	50
09:10		353.0	447.2		455	50
09:15		354.6	448.3		455	50
09:20		356.2	449.5		455	50
09:25		357.8	450.7		455	50
09:30		359.5	452.1		455	49
09:35		361.1	453.4		455	49
09:40		362.8	454.5		455	48
09:45		364.5	455.4		455	46
09:50		366.1	456.1		455	45
09:55		367.9	456.6		455	43
10:00		369.5	456.8		455	42
10:05		371.2	456.8		455	41
10:10		372.9	457.0		455	39
10:15		374.6	457.0		455	37
10:20		376.2	457.0		455	36
10:25		377.9	456.6		455	36
10:30		379.5	456.6		455	34
10:35		381.3	456.4		460	44
10:40		382.9	457.0		460	45
10:45		384.5	457.8		460	46
10:50		386.0	458.5		460	46
10:55		387.7	459.1		460	46
11:00		389.1	459.7		460	45
11:05		390.4	460.5		460	44
11:10		391.7	460.7		460	43
11:15		393.1	461.0		460	42
11:20		394.3	461.5		460	40
11:25		395.5	461.6		460	39
11:30		396.6	462.0		460	37
11:35		397.8	462.2		460	36
11:40		398.9	462.4		460	33
11:45		399.9	462.7		460	31
11:50		400.9	462.8		460	29
11:55		402.1	462.8		460	27
12:00		403.6	462.8		460	25
12:05		404.8	462.6		460	24
12:10		406.0	462.5		460	22
12:15		407.4	462.4		460	20
12:20		408.7	462.2		460	19
12:25		410.1	461.6		460	19
12:30		411.5	461.4		460	18
12:35		412.9	461.2		460	17
12:40		414.4	460.7		460	17
12:45		415.6	460.7		460	17
12:50		417.1	460.6		460	17
12:55		418.4	460.4		460	17
13:00		419.9	460.2		460	17
13:05		421.5	460.2		460	16
13:10		423.0	460.4		460	16
13:15		424.6	460.4		460	16
13:20		426.3	460.6		460	15
13:25		427.9	460.6		460	14
13:30		429.4	460.6		460	14
13:35		431.0	460.1		200	14
13:40		431.0	455.1		200	14
