Date:2015.06.22	Unit:F	CHARGE:00:00	TP:00:00	DRYe:00:00	FCs:00:00	FCe:00:00	SCs:00:00	SCe:00:00	DROP:00:00	COOL:00:00
Time1	Time2	BT	ET	Event	ETSP	HEAT
00:00		348.1	413.2		200	32
00:05		309.0	391.6		200	32
00:10		278.5	375.1		200	32
00:15		254.3	362.8		200	32
00:20		237.3	355.0		200	32
00:25		224.6	348.2		200	32
00:30		215.5	343.4		200	32
00:35		208.7	339.8		200	32
00:40		204.1	337.0		200	32
00:45		201.0	335.0		200	32
00:50		199.1	333.8		200	32
00:55		198.2	333.2		200	32
01:00		198.2	332.8		200	32
01:05		198.9	333.1		390	31
01:10		199.9	336.1		390	26
01:15		201.1	338.6		390	23
01:20		202.5	340.4		390	21
01:25		204.0	341.6		390	19
01:30		205.3	342.2		390	19
01:35		207.0	342.5		390	20
01:40		208.7	342.5		390	21
01:45		210.4	342.9		390	22
01:50		212.2	343.5		390	24
01:55		214.1	344.0		390	26
02:00		216.0	344.4		390	30
02:05		217.9	344.9		390	34
02:10		219.9	345.5		390	37
02:15		221.8	346.8		390	40
02:20		223.7	348.4		390	42
02:25		225.7	350.0		390	44
02:30		227.6	351.9		390	46
02:35		229.8	353.6		390	47
02:40		232.0	355.4		390	48
02:45		234.1	357.7		390	47
02:50		236.3	359.4		390	47
02:55		238.3	361.0		390	47
03:00		240.1	362.6		390	46
03:05		242.4	364.1		390	46
03:10		244.6	365.4		390	45
03:15		246.6	366.7		390	45
03:20		248.6	367.7		390	45
03:25		250.7	368.5		390	46
03:30		252.7	369.6		390	46
03:35		254.7	370.6		390	47
03:40		256.7	371.8		390	48
03:45		258.8	372.8		390	49
03:50		260.8	374.2		390	49
03:55		262.8	375.5		390	50
04:00		264.9	376.7		390	50
04:05		266.9	377.8		390	50
04:10		268.9	378.9		390	50
04:15		270.9	380.1		390	50
04:20		273.0	381.1		390	50
04:25		275.0	382.3		390	50
04:30		277.0	383.7		390	50
04:35		278.9	384.9		390	50
04:40		280.8	386.1		390	50
04:45		282.7	387.5		390	50
04:50		284.4	388.7		390	50
04:55		286.5	390.2		390	48
05:00		288.6	391.3		390	46
05:05		290.5	392.5		390	43
05:10		292.2	393.2		390	40
05:15		294.1	393.7		390	37
05:20		295.7	393.8		428	35
05:25		297.4	392.6		428	40
05:30		299.0	391.9		428	44
05:35		300.5	392.2		428	47
05:40		302.2	393.5		428	50
05:45		304.0	395.0		428	50
05:50		305.7	396.7		428	50
05:55		307.4	397.7		428	50
06:00		309.1	398.9		428	50
06:05		310.7	400.4		428	50
06:10		312.4	402.0		428	50
06:15		313.9	403.5		428	50
06:20		315.7	404.8		428	50
06:25		317.4	406.5		428	50
06:30		319.1	407.9		428	50
06:35		320.5	409.3		428	50
06:40		322.2	410.3		428	50
06:45		323.9	411.7		428	50
06:50		325.6	413.1		428	50
06:55		327.2	414.2		428	50
07:00		328.9	415.6		428	50
07:05		330.5	416.8		428	50
07:10		332.3	417.9		428	50
07:15		333.9	419.2		428	50
07:20		335.5	420.4		428	50
07:25		337.1	421.8		428	50
07:30		338.9	423.2		428	50
07:35		340.5	424.8		440	50
07:40		342.2	426.9		440	50
07:45		343.7	429.0		440	50
07:50		345.3	430.7		440	50
07:55		346.8	432.5		440	50
08:00		348.4	434.1		440	50
08:05		350.0	435.4		440	50
08:10		351.7	436.9		440	49
08:15		353.5	437.9		440	49
08:20		355.3	439.0		440	48
08:25		357.1	440.5		440	46
08:30		358.8	441.7		440	43
08:35		360.6	442.4		440	41
08:40		362.3	442.7		440	39
08:45		364.0	442.9		440	37
08:50		365.6	443.1		440	34
08:55		367.1	443.2		440	32
09:00		368.8	443.3		440	30
09:05		370.4	443.2		440	28
09:10		372.0	443.1		440	26
09:15		373.4	442.6		440	25
09:20		374.8	442.6		440	22
09:25		376.3	442.2		440	22
09:30		377.8	442.0		440	20
09:35		379.3	441.3		440	21
09:40		380.7	440.9		440	20
09:45		382.3	441.0		440	19
09:50		383.6	441.1		440	18
09:55		385.0	440.8		440	18
10:00		386.5	440.8		440	18
10:05		387.9	440.6		440	18
10:10		389.3	440.2		440	18
10:15		390.6	440.4		440	17
10:20		392.0	440.2		440	18
10:25		393.1	440.1		440	18
10:30		394.4	439.9		440	18
10:35		395.6	439.7		440	18
10:40		396.9	439.8		440	18
10:45		397.9	439.8		440	19
10:50		398.9	439.8		440	19
10:55		400.0	439.8		440	19
11:00		400.9	439.7		440	19
11:05		401.8	439.9		440	19
11:10		402.6	440.1		440	19
11:15		403.3	440.4		440	18
11:20		404.1	440.3		440	18
11:25		405.1	440.0		440	19
11:30		406.0	440.2		440	18
11:35		406.8	440.2		440	18
11:40		407.6	440.2		440	18
11:45		408.4	440.0		440	18
11:50		409.3	440.3		440	17
11:55		410.2	440.4		200	14
12:00		410.7	436.9		200	14
