Date:2015.06.19	Unit:F	CHARGE:00:00	TP:00:00	DRYe:00:00	FCs:00:00	FCe:00:00	SCs:00:00	SCe:00:00	DROP:00:00	COOL:00:00
Time1	Time2	BT	ET	Event	ETSP	HEAT
00:00		327.6	409.8		200	32
00:05		290.5	391.6		200	32
00:10		260.0	378.2		200	32
00:15		237.9	368.4		200	32
00:20		221.6	361.3		200	32
00:25		209.5	355.7		200	32
00:30		201.1	351.7		200	32
00:35		195.2	349.0		200	32
00:40		191.3	346.0		200	32
00:45		188.8	343.9		200	32
00:50		187.7	342.6		200	32
00:55		187.6	342.7		200	32
01:00		188.1	342.7		200	32
01:05		189.2	343.5		390	31
01:10		190.4	346.3		390	27
01:15		191.9	348.7		390	25
01:20		193.8	350.1		390	23
01:25		195.8	350.8		390	23
01:30		197.8	351.4		390	23
01:35		200.0	351.7		390	24
01:40		202.2	352.5		390	25
01:45		204.5	352.6		390	28
01:50		206.7	353.5		390	29
01:55		208.6	354.1		390	31
02:00		210.9	355.1		390	33
02:05		213.1	356.5		390	34
02:10		215.2	358.0		390	36
02:15		217.6	359.4		390	37
02:20		219.7	360.8		390	38
02:25		222.1	362.2		390	40
02:30		224.3	364.0		390	39
02:35		226.5	365.8		390	39
02:40		228.8	367.2		390	40
02:45		230.9	368.4		390	40
02:50		233.2	369.3		390	42
02:55		235.5	370.3		390	43
03:00		237.6	371.6		390	43
03:05		239.8	373.1		390	44
03:10		242.1	374.2		390	45
03:15		244.3	375.5		390	46
03:20		246.4	376.7		390	46
03:25		248.5	378.5		390	46
03:30		250.9	380.0		390	46
03:35		252.9	380.9		390	47
03:40		255.0	382.1		390	47
03:45		257.2	382.7		390	50
03:50		259.4	382.5		390	50
03:55		261.5	382.4		390	50
04:00		263.5	383.6		390	50
04:05		265.5	385.1		390	50
04:10		267.5	386.8		390	50
04:15		269.6	388.4		390	50
04:20		271.6	390.1		390	47
04:25		273.7	391.4		390	45
04:30		275.6	392.4		390	42
04:35		277.5	393.1		390	39
04:40		279.3	393.2		390	37
04:45		281.1	393.8		390	33
04:50		283.1	393.6		390	31
04:55		284.7	393.2		390	30
05:00		286.4	392.6		390	29
05:05		288.0	392.1		390	28
05:10		289.5	391.6		390	27
05:15		291.1	391.3		390	27
05:20		292.7	390.9		390	27
05:25		294.1	390.6		390	26
05:30		295.7	390.3		428	28
05:35		296.9	389.4		428	34
05:40		298.4	388.7		428	41
05:45		299.7	389.0		428	47
05:50		301.3	390.8		428	50
05:55		302.7	393.4		428	50
06:00		304.2	396.2		428	49
06:05		305.8	398.5		428	49
06:10		307.4	400.5		428	49
06:15		309.0	402.8		428	49
06:20		310.7	404.8		428	50
06:25		312.1	406.9		428	49
06:30		313.9	409.0		428	49
06:35		315.5	410.4		428	50
06:40		317.1	412.1		428	50
06:45		318.9	413.5		428	50
06:50		320.5	414.9		428	50
06:55		322.1	416.5		428	50
07:00		323.6	418.2		428	50
07:05		325.2	419.5		428	50
07:10		326.7	420.7		428	50
07:15		328.3	422.1		428	50
07:20		329.9	423.3		428	50
07:25		331.5	424.5		428	50
07:30		333.2	425.5		428	50
07:35		334.6	426.9		428	49
07:40		336.3	428.2		428	47
07:45		338.0	429.2		428	46
07:50		339.6	430.0		428	43
07:55		341.1	430.1		440	50
08:00		342.7	431.9		440	50
08:05		344.1	434.0		440	50
08:10		345.7	435.7		440	50
08:15		347.3	437.2		440	50
08:20		348.9	438.8		440	48
08:25		350.6	440.5		440	46
08:30		352.3	441.5		440	44
08:35		353.9	442.0		440	42
08:40		355.3	442.2		440	41
08:45		357.0	442.3		440	39
08:50		358.7	442.3		440	38
08:55		360.3	442.2		440	36
09:00		361.8	442.3		440	34
09:05		363.4	442.3		440	33
09:10		365.0	442.0		440	32
09:15		366.4	441.7		440	31
09:20		368.0	441.5		440	30
09:25		369.6	441.2		440	30
09:30		371.1	440.8		440	30
09:35		372.4	440.6		440	30
09:40		373.9	440.4		440	30
09:45		375.3	440.1		440	30
09:50		376.8	440.0		440	30
09:55		377.8	439.9		440	30
10:00		379.1	439.9		440	30
10:05		380.4	439.8		440	31
10:10		381.5	439.6		440	31
10:15		382.5	439.6		440	31
10:20		383.5	439.7		440	32
10:25		384.3	439.7		440	32
10:30		385.1	439.9		440	31
10:35		385.9	440.2		440	31
10:40		386.8	440.3		440	31
10:45		387.9	440.6		440	30
10:50		388.8	441.0		440	29
10:55		389.7	441.2		440	28
11:00		390.5	441.2		440	27
11:05		391.3	441.1		440	26
11:10		392.2	441.1		440	25
11:15		393.2	441.2		440	24
11:20		394.3	441.1		440	24
11:25		395.4	441.5		440	22
11:30		396.4	441.5		440	21
11:35		397.6	441.3		440	21
11:40		398.6	441.4		440	19
11:45		399.8	441.1		440	19
11:50		400.9	441.0		440	18
11:55		402.1	440.8		440	18
12:00		403.3	440.7		440	18
12:05		404.6	440.6		440	18
12:10		405.7	440.3		440	18
12:15		407.1	440.2		440	18
12:20		408.4	440.1		440	18
12:25		409.6	440.1		440	18
12:30		410.8	439.3		200	14
12:35		410.5	433.9		200	14
