Date:2015.06.22	Unit:F	CHARGE:00:00	TP:00:00	DRYe:00:00	FCs:00:00	FCe:00:00	SCs:00:00	SCe:00:00	DROP:00:00	COOL:00:00
Time1	Time2	BT	ET	Event	ETSP	HEAT
00:00		338.3	398.7		200	32
00:05		297.9	376.0		200	32
00:10		267.5	359.3		200	32
00:15		245.5	349.0		200	32
00:20		228.9	342.0		200	32
00:25		216.7	337.7		200	32
00:30		207.7	334.9		200	32
00:35		201.5	333.1		200	32
00:40		197.4	331.8		200	32
00:45		194.7	330.9		200	32
00:50		193.3	330.4		200	32
00:55		192.7	330.2		200	32
01:00		193.1	330.5		390	32
01:05		194.0	333.7		390	26
01:10		195.1	336.6		390	21
01:15		196.4	338.7		390	18
01:20		197.7	339.5		390	17
01:25		199.3	340.0		390	16
01:30		200.8	340.2		390	16
01:35		202.6	339.9		390	18
01:40		204.4	339.7		390	21
01:45		206.1	339.7		390	24
01:50		208.1	340.0		390	27
01:55		209.9	340.6		390	31
02:00		211.8	341.4		390	34
02:05		213.7	342.2		390	39
02:10		215.7	343.5		390	42
02:15		217.7	344.7		390	45
02:20		219.7	346.7		390	47
02:25		221.9	348.9		390	48
02:30		224.1	351.0		390	48
02:35		226.5	353.1		390	48
02:40		228.7	355.2		390	48
02:45		231.0	356.9		390	48
02:50		233.2	358.5		390	48
02:55		235.5	359.9		390	47
03:00		237.6	361.1		390	47
03:05		239.9	362.5		390	47
03:10		242.0	363.7		390	47
03:15		244.2	364.7		390	47
03:20		246.4	365.7		390	48
03:25		248.4	366.5		390	49
03:30		250.6	367.0		390	50
03:35		252.7	368.0		390	50
03:40		254.7	369.0		390	50
03:45		256.9	369.8		390	50
03:50		258.9	370.7		390	50
03:55		261.1	371.7		390	50
04:00		263.3	373.0		390	50
04:05		265.4	374.1		390	50
04:10		267.6	375.1		390	50
04:15		269.7	376.0		390	50
04:20		271.8	376.9		390	50
04:25		273.7	378.1		390	50
04:30		275.7	379.5		390	50
04:35		277.6	380.6		390	50
04:40		279.6	382.1		390	50
04:45		281.4	383.3		390	50
04:50		283.3	384.6		390	50
04:55		285.1	385.9		390	50
05:00		286.9	387.7		390	50
05:05		288.8	389.3		390	49
05:10		290.5	390.5		390	47
05:15		292.3	391.7		390	45
05:20		294.1	392.4		390	42
05:25		295.7	392.9		428	41
05:30		297.4	392.2		428	45
05:35		299.1	391.9		428	48
05:40		300.8	392.3		428	50
05:45		302.4	393.2		428	50
05:50		304.0	394.5		428	50
05:55		305.8	396.1		428	50
06:00		307.4	397.3		428	50
06:05		309.0	398.6		428	50
06:10		310.9	400.0		428	50
06:15		312.5	401.4		428	50
06:20		314.2	402.9		428	50
06:25		315.9	403.9		428	50
06:30		317.5	404.8		428	50
06:35		319.3	405.7		428	50
06:40		320.9	406.8		428	50
06:45		322.4	408.0		428	50
06:50		323.9	409.3		428	50
06:55		325.7	410.6		428	50
07:00		327.4	411.7		428	50
07:05		329.2	413.0		428	50
07:10		330.6	414.2		428	50
07:15		332.4	415.5		428	50
07:20		334.2	416.8		428	50
07:25		335.8	418.3		428	50
07:30		337.4	419.9		428	50
07:35		339.2	421.4		428	50
07:40		341.0	422.9		440	50
07:45		342.7	425.0		440	50
07:50		344.4	427.2		440	50
07:55		346.1	429.0		440	50
08:00		347.7	430.9		440	50
08:05		349.3	432.7		440	50
08:10		351.1	434.4		440	50
08:15		352.7	435.6		440	50
08:20		354.7	437.0		440	50
08:25		356.4	438.1		440	49
08:30		358.3	439.4		440	48
08:35		360.0	440.1		440	47
08:40		361.8	441.1		440	45
08:45		363.5	441.7		440	43
08:50		365.2	442.4		440	40
08:55		367.2	442.7		440	38
09:00		368.9	443.2		440	35
09:05		370.6	443.3		440	33
09:10		372.3	443.2		440	31
09:15		373.9	443.3		440	28
09:20		375.5	443.5		440	26
09:25		377.3	443.3		440	24
09:30		378.9	443.0		440	22
09:35		380.5	442.6		440	21
09:40		382.1	442.4		440	19
09:45		383.6	442.5		440	17
09:50		385.0	442.4		440	16
09:55		386.6	442.4		440	14
10:00		388.1	442.2		440	14
10:05		389.5	441.8		440	14
10:10		391.0	441.3		440	14
10:15		392.5	441.0		440	14
10:20		394.0	440.7		440	14
10:25		395.2	440.5		440	14
10:30		396.7	440.4		440	14
10:35		398.3	440.2		440	14
10:40		399.6	440.0		440	14
10:45		400.8	439.9		440	15
10:50		402.0	440.1		440	14
10:55		403.2	440.0		440	15
11:00		404.3	439.9		440	15
11:05		405.4	439.7		440	16
11:10		406.3	439.7		440	16
11:15		407.3	439.7		440	16
11:20		408.2	439.8		440	16
11:25		409.0	439.7		440	16
11:30		409.9	439.7		440	17
11:35		410.5	438.0		200	14
11:40		409.5	434.0		200	14
