Date:2015.06.19	Unit:F	CHARGE:00:00	TP:00:00	DRYe:00:00	FCs:00:00	FCe:00:00	SCs:00:00	SCe:00:00	DROP:00:00	COOL:00:00
Time1	Time2	BT	ET	Event	ETSP	HEAT
00:00		325.3	404.4		200	32
00:05		289.4	387.0		200	32
00:10		261.8	376.5		200	32
00:15		241.3	369.4		200	32
00:20		226.0	365.1		200	32
00:25		215.3	362.2		200	32
00:30		207.7	360.4		200	32
00:35		202.3	359.3		200	32
00:40		198.7	358.4		200	32
00:45		196.5	357.1		200	32
00:50		195.2	356.7		200	32
00:55		194.8	357.0		200	32
01:00		195.2	357.8		390	31
01:05		196.2	359.9		390	29
01:10		197.3	362.1		390	27
01:15		198.8	363.8		390	25
01:20		200.5	365.2		390	23
01:25		202.2	366.1		390	23
01:30		204.0	366.9		390	23
01:35		205.7	367.1		390	24
01:40		207.7	367.2		390	26
01:45		209.5	367.5		390	28
01:50		211.5	367.9		390	31
01:55		213.6	368.4		390	34
02:00		215.5	369.5		390	37
02:05		217.5	370.9		390	39
02:10		219.6	372.1		390	42
02:15		221.7	373.7		390	43
02:20		223.9	375.1		390	45
02:25		225.9	377.1		390	45
02:30		228.1	379.3		390	45
02:35		230.1	381.3		390	44
02:40		232.2	382.8		390	44
02:45		234.2	384.2		390	44
02:50		236.2	385.5		390	45
02:55		238.3	386.8		390	44
03:00		240.6	388.3		390	44
03:05		242.7	389.3		390	45
03:10		244.7	390.4		390	44
03:15		246.8	391.4		390	42
03:20		248.9	391.6		390	41
03:25		250.9	392.2		390	38
03:30		252.9	392.3		390	37
03:35		255.0	392.0		390	36
03:40		257.0	391.9		390	35
03:45		259.0	391.5		390	34
03:50		260.8	391.1		390	34
03:55		262.6	390.9		390	33
04:00		264.2	390.7		390	33
04:05		266.0	390.6		390	33
04:10		267.7	390.6		390	32
04:15		269.4	390.9		390	31
04:20		271.0	391.2		390	30
04:25		272.7	391.3		390	29
04:30		274.3	391.5		390	28
04:35		275.8	391.4		390	27
04:40		277.4	391.3		390	26
04:45		279.0	391.0		390	26
04:50		280.6	390.9		390	25
04:55		282.0	390.7		390	25
05:00		283.3	390.9		390	24
05:05		284.6	390.8		390	24
05:10		285.9	390.5		390	24
05:15		287.1	390.3		390	24
05:20		288.4	390.2		390	24
05:25		289.7	390.4		390	23
05:30		290.9	390.4		390	23
05:35		292.1	390.5		390	22
05:40		293.3	390.5		390	22
05:45		294.5	390.5		390	21
05:50		295.5	390.3		428	23
05:55		296.6	389.3		428	30
06:00		297.7	388.9		428	35
06:05		298.8	389.0		428	42
06:10		299.9	390.3		428	47
06:15		301.2	393.1		428	49
06:20		302.4	396.5		428	49
06:25		303.9	399.5		428	50
06:30		305.1	402.2		428	49
06:35		306.6	404.6		428	49
06:40		307.9	406.6		428	50
06:45		309.3	408.6		428	49
06:50		310.7	410.9		428	48
06:55		312.1	412.2		428	50
07:00		313.8	413.4		428	50
07:05		315.2	415.1		428	50
07:10		316.6	416.9		428	50
07:15		318.4	418.3		428	50
07:20		319.8	420.0		428	50
07:25		321.4	421.3		428	50
07:30		322.8	422.4		428	50
07:35		324.1	423.6		428	50
07:40		325.6	424.8		428	50
07:45		327.1	425.7		428	50
07:50		328.6	427.0		428	50
07:55		330.0	428.0		428	50
08:00		331.7	429.1		428	47
08:05		333.1	430.5		428	43
08:10		334.6	430.9		428	42
08:15		336.1	430.9		428	40
08:20		337.4	430.4		428	39
08:25		338.9	429.9		428	38
08:30		340.1	429.3		455	50
08:35		341.5	430.1		455	50
08:40		342.7	432.9		455	50
08:45		343.9	435.7		455	50
08:50		345.3	437.9		455	50
08:55		346.8	439.9		455	50
09:00		348.2	441.7		455	50
09:05		349.8	443.3		455	50
09:10		351.3	445.0		455	50
09:15		352.9	446.6		455	50
09:20		354.4	448.0		455	50
09:25		356.2	449.4		455	49
09:30		357.6	450.7		455	49
09:35		359.3	451.7		455	49
09:40		361.1	452.6		455	49
09:45		362.9	453.7		455	49
09:50		364.6	454.8		455	48
09:55		366.4	455.6		455	46
10:00		368.2	456.1		455	45
10:05		369.9	456.6		455	43
10:10		371.6	457.0		455	41
10:15		373.3	457.0		455	40
10:20		375.1	457.0		455	38
10:25		376.8	457.0		455	37
10:30		378.5	456.6		455	37
10:35		380.2	456.5		460	40
10:40		381.9	456.5		460	46
10:45		383.6	457.4		460	46
10:50		385.1	458.2		460	47
10:55		386.8	458.8		460	47
11:00		388.4	459.3		460	47
11:05		390.0	459.7		460	47
11:10		391.5	460.4		460	45
11:15		392.9	460.9		460	44
11:20		394.1	461.2		460	43
11:25		395.5	461.5		460	41
11:30		396.5	462.1		460	39
11:35		397.6	462.4		460	37
11:40		398.8	462.5		460	36
11:45		400.0	462.7		460	33
11:50		401.2	462.6		460	32
11:55		402.3	462.5		460	30
12:00		403.5	462.4		460	28
12:05		404.7	462.5		460	26
12:10		406.0	462.6		460	24
12:15		407.4	462.6		460	22
12:20		408.7	462.7		460	20
12:25		410.1	462.6		460	19
12:30		411.3	462.4		460	17
12:35		412.8	462.1		460	16
12:40		414.4	461.8		460	15
12:45		415.8	461.4		460	15
12:50		417.4	461.0		460	15
12:55		419.0	460.7		460	14
13:00		420.4	460.6		460	14
13:05		422.0	460.6		460	14
13:10		423.5	460.5		460	14
13:15		425.2	460.5		460	14
13:20		426.8	460.6		460	14
13:25		428.3	460.6		460	14
13:30		429.9	460.8		460	14
13:35		431.4	458.8		200	14
13:40		430.3	452.1		200	14
